image,num_rois,mean_intensity,std_intensity
Run100BL_bottom_left.tif,914,63.3834,56.2255
Run100BL_bottom_right.tif,1041,64.6608,55.9334
Run100BL_top_left.tif,1141,66.6572,58.0109
Run100BL_top_right.tif,1202,66.0841,57.4935
Run100BR_bottom_left.tif,1163,63.7963,54.9399
Run100BR_bottom_right.tif,1134,62.7465,54.8140
Run100BR_top_left.tif,1162,65.4521,56.2609
Run100BR_top_right.tif,1177,64.9112,56.3899
Run100TL_bottom_left.tif,1090,67.0688,58.0420
Run100TL_bottom_right.tif,868,66.5525,58.4079
Run100TL_top_left.tif,1098,66.1824,57.8436
Run100TL_top_right.tif,850,64.6686,59.0666
Run100TR_bottom_left.tif,945,66.0554,57.4375
Run100TR_bottom_right.tif,1060,66.2822,56.6895
Run100TR_top_left.tif,984,66.1007,58.0823
Run100TR_top_right.tif,1046,65.1858,57.8543
Run101BL_bottom_left.tif,965,68.7450,60.4782
Run101BL_bottom_right.tif,1037,70.6531,60.6191
Run101BL_top_left.tif,962,67.6804,59.3406
Run101BL_top_right.tif,1043,69.8106,59.5071
Run101BR_bottom_left.tif,1113,72.2942,61.7655
Run101BR_bottom_right.tif,1092,72.7193,62.8818
Run101BR_top_left.tif,1031,69.2443,59.6489
Run101BR_top_right.tif,1064,70.0948,61.1083
Run101TL_bottom_left.tif,913,66.6249,58.1246
Run101TL_bottom_right.tif,991,67.7965,58.4472
Run101TL_top_left.tif,935,64.9036,56.2876
Run101TL_top_right.tif,932,66.6416,57.8124
Run101TR_bottom_left.tif,991,66.0131,58.0357
Run101TR_bottom_right.tif,1126,69.2188,58.7121
Run101TR_top_left.tif,959,66.5617,57.9881
Run101TR_top_right.tif,1087,67.8587,58.7012
Run102BL_bottom_left.tif,811,87.6645,77.2014
Run102BL_bottom_right.tif,662,86.2915,75.7994
Run102BL_top_left.tif,824,87.3121,77.9301
Run102BL_top_right.tif,721,85.7098,77.3751
Run102BR_bottom_left.tif,675,87.3178,77.0235
Run102BR_bottom_right.tif,808,85.2749,75.8388
Run102BR_top_left.tif,791,87.4080,77.3042
Run102BR_top_right.tif,845,86.3529,77.3478
Run102TL_bottom_left.tif,891,90.7109,81.1630
Run102TL_bottom_right.tif,816,89.5704,80.9406
Run102TL_top_left.tif,952,81.8578,77.4939
Run102TL_top_right.tif,748,78.0411,76.6854
Run102TR_bottom_left.tif,821,89.1030,80.7701
Run102TR_bottom_right.tif,781,91.7454,81.7930
Run102TR_top_left.tif,716,78.3264,77.5275
Run102TR_top_right.tif,654,79.1631,77.3519
